,lnhr,lnwg,kids,age,disab
0,7.82,1.98,2,36,0
1,7.63,1.79,0,44,0
2,7.62,2.64,0,35,1
3,8.01,1.98,2,31,0
4,7.73,2.56,2,41,0
5,7.69,2.76,1,40,0
6,8.35,2.45,2,53,0
7,7.69,2.18,0,46,0
8,7.67,2.79,2,36,0
9,7.74,2.93,0,55,0
10,7.64,3.01,3,31,0
11,7.89,2.64,3,37,0
12,7.56,2.71,1,50,1
13,7.92,3.12,3,40,0
14,7.74,2.96,0,59,0
15,7.73,2.85,1,49,0
16,7.61,2.85,2,45,0
17,7.56,2.59,3,32,0
18,7.71,2.69,3,41,0
19,7.55,3.44,0,59,0
20,6.95,1.87,2,46,0
21,7.6,3.03,2,35,0
22,7.82,2.33,3,39,0
23,7.76,2.98,0,54,0
24,7.28,2.08,0,58,0
25,7.77,2.56,1,52,0
26,7.28,2.47,0,52,0
27,7.92,3.67,4,41,0
28,7.77,2.53,2,42,0
29,7.6,2.67,0,41,0
30,7.6,2.57,3,31,0
31,7.63,2.34,1,45,0
32,7.54,2.69,2,31,0
33,7.97,3.03,2,38,0
34,7.54,3.36,0,48,0
35,8.14,3.25,0,57,0
36,7.55,3.22,1,36,0
37,7.53,2.96,1,47,0
38,7.68,3.54,0,56,1
39,7.92,3.22,1,50,0
40,7.61,3.07,3,39,0
41,7.94,2.86,0,45,0
42,7.62,2.76,3,40,0
43,8.31,2.2,2,40,0
44,7.77,2.83,1,38,0
45,7.91,2.14,1,39,0
46,7.8,3.2,0,55,0
47,7.66,2.63,4,33,0
48,7.36,2.67,1,39,0
49,7.8,3.19,3,39,0
50,7.81,3.05,1,40,0
51,7.57,2.71,0,54,0
52,7.59,2.33,0,58,0
53,7.42,2.91,3,45,0
54,7.68,2.84,3,41,0
55,7.82,3.14,0,57,0
56,7.71,3.36,2,35,1
57,7.44,2.48,0,51,0
58,7.7,3.03,2,34,0
59,7.7,2.3,2,44,0
60,7.54,2.67,0,47,0
61,7.64,2.69,1,43,0
62,7.72,2.19,0,53,0
63,7.56,3.12,1,50,0
64,8.01,2.12,0,51,0
65,7.57,3.36,0,56,0
66,7.54,3.36,0,60,0
67,7.58,1.83,1,55,1
68,7.61,3.14,3,37,0
69,7.61,2.55,0,50,0
70,7.56,2.08,0,57,0
71,7.83,2.24,3,35,0
72,7.67,2.68,2,42,0
73,7.84,2.53,0,43,0
74,7.58,2.21,0,57,0
75,7.68,3.06,2,43,0
76,7.58,2.97,2,39,0
77,7.66,2.82,2,42,0
78,7.4,2.67,2,43,0
79,7.83,2.75,0,47,0
80,6.03,2.08,1,33,1
81,7.59,1.98,1,53,0
82,7.62,1.75,4,38,0
83,7.82,2.01,3,44,0
84,7.57,2.54,0,50,0
85,7.62,2.1,0,54,0
86,7.91,2.08,1,40,0
87,7.96,2.96,2,39,0
88,7.57,2.77,0,52,0
89,8.13,2.49,1,42,0
90,7.87,2.64,0,54,0
91,7.29,3.18,2,39,0
92,7.57,2.53,2,41,0
93,7.77,3.07,0,43,0
94,7.57,2.71,1,40,0
95,7.8,2.52,2,40,0
96,7.59,1.87,2,39,0
97,7.55,1.65,3,36,0
98,7.37,3.03,1,46,0
99,7.6,2.4,2,41,0
100,7.6,2.45,2,37,0
101,7.73,3.15,0,54,0
102,7.62,2.55,1,53,0
103,7.92,3.62,0,51,0
104,7.62,3.36,2,39,0
105,7.88,2.44,2,39,0
106,7.86,3.36,0,55,0
107,7.58,2.56,2,40,0
108,7.58,2.76,0,54,0
109,7.69,3.25,1,48,0
110,7.59,3.36,2,46,0
111,7.27,2.73,2,36,0
112,7.57,2.76,2,51,0
113,7.94,2.04,2,35,1
114,7.73,2.23,1,36,0
115,7.59,2.55,3,37,0
116,7.7,2.77,2,44,0
117,7.71,2.51,0,55,0
118,7.93,4.37,0,50,0
119,7.72,2.68,1,32,0
120,7.82,2.42,0,44,0
121,7.68,2.45,2,33,0
122,7.83,2.53,1,34,0
123,7.62,2.75,0,45,0
124,7.59,1.81,1,41,1
125,7.68,2.46,0,53,0
126,7.64,1.69,1,51,0
127,7.52,2.55,0,44,0
128,7.92,2.52,0,57,1
129,8.01,2.57,2,32,0
130,7.59,2.71,2,44,0
131,7.96,2.04,4,31,0
132,7.8,2.48,1,45,0
133,7.54,2.63,1,46,0
134,7.57,3.04,0,52,0
135,7.69,2.71,1,53,0
136,7.65,2.3,2,31,0
137,7.7,2.75,3,31,0
138,8.08,3.24,2,39,0
139,7.86,2.78,0,43,0
140,7.62,2.18,0,48,0
141,7.78,2.68,2,38,1
142,7.56,2.76,3,45,1
143,7.63,2.2,2,40,0
144,7.61,2.4,1,39,0
145,7.97,3.65,0,53,0
146,7.52,2.7,0,55,1
147,7.81,3.21,1,43,0
148,7.4,2.1,0,55,1
149,7.61,3.25,0,58,0
150,7.59,2.98,3,32,0
151,7.64,3.47,2,45,1
152,7.45,2.01,1,47,1
153,7.16,2.67,0,46,1
154,7.64,2.67,0,55,1
155,7.65,1.85,2,35,0
156,7.63,2.63,0,50,1
157,7.55,3.18,2,36,0
158,7.73,3.4,2,39,0
159,7.55,2.79,1,36,0
160,7.72,2.29,0,38,0
161,7.86,3.27,3,39,0
162,7.84,2.6,0,41,0
163,7.64,3.36,1,45,0
164,7.42,2.67,3,48,0
165,7.79,2.56,3,42,0
166,7.54,2.3,0,53,0
167,7.48,3.62,0,50,0
168,7.9,2.34,2,38,0
169,7.84,1.5,2,33,1
170,7.92,2.67,1,33,0
171,7.76,2.43,3,43,0
172,7.8,3.59,3,40,0
173,7.82,3.21,0,52,1
174,7.66,3.15,0,59,1
175,7.62,2.12,1,56,1
176,8.05,2.85,2,45,0
177,7.4,1.95,1,46,0
178,7.62,2.66,1,40,1
179,7.88,2.76,2,37,0
180,8.25,3.3,4,34,0
181,8.01,2.71,0,48,0
182,7.49,2.88,2,39,0
183,7.85,2.59,0,55,0
184,8.0,2.7,1,43,1
185,7.7,2.6,2,37,1
186,7.56,3.05,2,52,1
187,7.56,3.04,0,42,1
188,7.57,2.64,3,40,0
189,7.74,2.58,3,39,0
190,7.54,3.23,0,50,0
191,7.56,2.53,2,36,0
192,7.79,2.63,1,36,0
193,5.96,2.25,0,55,0
194,7.77,2.45,3,41,0
195,8.53,2.19,2,41,0
196,7.76,2.49,2,50,0
197,7.45,2.48,2,41,0
198,7.88,2.17,2,35,0
199,7.63,3.01,0,55,0
200,7.8,3.2,1,36,0
201,7.48,2.67,0,59,1
202,8.03,2.68,2,43,0
203,7.54,2.68,0,51,0
204,7.21,2.49,2,37,0
205,7.46,1.5,4,33,1
206,7.55,2.57,3,35,0
207,7.5,1.39,4,44,0
208,7.82,2.93,2,40,0
209,7.99,2.91,2,35,0
210,7.83,2.63,2,41,0
211,7.5,2.3,1,39,0
212,7.65,2.69,0,54,0
213,7.82,3.14,0,39,0
214,7.97,2.96,2,42,0
215,7.82,2.2,0,56,0
216,7.78,3.36,3,47,0
217,7.72,2.45,4,40,0
218,7.64,3.06,0,51,0
219,7.59,2.34,1,42,0
220,7.55,1.95,2,39,0
221,7.55,2.97,3,39,0
222,8.01,2.64,1,51,0
223,4.79,-0.22,0,60,0
224,7.57,2.94,3,39,0
225,6.36,3.0,3,37,0
226,7.86,1.5,2,31,0
227,7.74,2.13,0,59,0
228,7.63,2.85,0,58,0
229,7.54,2.87,1,36,0
230,7.63,2.67,0,36,0
231,7.78,3.2,1,44,0
232,7.76,2.49,3,35,0
233,7.59,2.73,3,32,0
234,7.96,2.17,2,35,0
235,7.56,2.32,0,52,0
236,7.69,2.45,1,51,1
237,7.67,2.38,2,38,0
238,7.63,1.7,0,48,0
239,7.77,3.39,1,40,0
240,7.62,3.03,3,39,0
241,7.71,2.08,1,41,0
242,7.8,1.79,2,39,0
243,7.82,3.09,1,41,0
244,7.85,2.23,0,45,0
245,7.74,2.74,1,39,0
246,7.58,2.36,0,52,0
247,7.99,2.74,1,38,0
248,7.59,2.66,3,31,0
249,7.47,2.5,5,43,0
250,7.74,2.53,4,39,0
251,7.62,2.34,0,40,1
252,7.68,2.89,3,40,0
253,7.57,2.53,2,35,0
254,7.9,1.96,2,33,1
255,7.53,2.88,2,43,0
256,7.6,2.59,1,45,0
257,7.95,2.94,1,46,0
258,7.8,3.14,1,44,0
259,7.92,2.77,1,45,0
260,7.95,2.98,0,51,0
261,7.63,2.2,1,41,0
262,7.55,3.65,1,39,0
263,7.59,2.76,0,44,0
264,7.87,2.36,2,38,0
265,7.74,2.36,0,59,0
266,7.56,2.94,3,33,0
267,7.53,3.5,0,55,0
268,7.94,1.47,1,40,1
269,7.82,2.51,3,40,0
270,7.64,2.3,0,60,0
271,7.72,2.68,2,54,0
272,7.62,2.84,2,33,0
273,7.58,2.83,4,45,0
274,7.65,2.85,2,58,0
275,7.66,3.16,0,59,0
276,7.75,2.83,2,34,0
277,7.41,3.8,0,56,0
278,7.6,2.56,0,59,1
279,7.91,3.18,2,40,0
280,7.66,1.89,1,35,0
281,7.55,2.31,0,59,1
282,7.66,2.82,1,60,0
283,7.83,2.67,2,35,0
284,7.9,2.64,4,36,0
285,7.77,3.39,0,42,0
286,7.59,2.93,0,51,0
287,7.55,2.91,1,40,0
288,7.64,2.44,1,37,0
289,8.1,2.8,2,35,0
290,7.61,2.01,4,41,0
291,8.05,2.69,1,45,0
292,7.7,3.4,0,60,1
293,7.99,2.94,2,34,0
294,7.58,2.51,0,56,0
295,7.98,2.14,0,57,0
296,7.6,2.86,0,57,0
297,7.64,2.41,1,39,0
298,7.54,2.42,2,47,0
299,8.01,2.42,3,49,0
300,7.73,2.47,3,40,0
301,7.99,2.22,2,38,0
302,7.75,2.31,3,36,0
303,7.6,1.99,0,58,0
304,7.78,2.78,2,40,0
305,7.64,2.71,0,42,0
306,8.13,1.61,1,32,0
307,7.76,2.35,3,32,0
308,7.62,2.3,0,49,0
309,7.81,2.78,4,36,0
310,7.73,2.79,0,49,0
311,7.56,2.89,2,40,0
312,7.56,2.4,3,33,0
313,7.77,3.3,0,46,0
314,7.64,2.36,0,50,0
315,7.7,2.67,0,49,0
316,7.72,1.48,2,36,0
317,7.67,2.61,3,43,0
318,7.64,2.67,2,35,0
319,7.74,2.5,0,47,0
320,7.73,3.95,0,45,0
321,7.6,2.66,1,44,0
322,7.58,2.7,0,41,0
323,7.74,2.42,0,39,0
324,7.39,2.52,2,42,0
325,7.61,2.83,2,42,1
326,7.54,2.48,0,58,0
327,7.54,2.45,2,33,0
328,7.6,2.08,0,53,0
329,7.59,2.2,0,58,0
330,7.62,2.01,1,56,0
331,7.53,3.03,1,43,0
332,7.55,2.56,1,33,0
333,7.89,2.59,2,42,0
334,7.6,2.81,2,51,0
335,8.23,2.51,2,32,0
336,7.92,3.1,1,40,0
337,7.59,2.96,3,36,0
338,7.66,3.37,2,38,0
339,7.6,2.22,2,37,0
340,7.65,3.16,2,36,0
341,7.72,2.7,3,33,0
342,7.55,2.86,2,44,0
343,8.05,2.67,1,44,0
344,7.77,2.89,2,36,0
345,7.68,2.67,3,36,0
346,7.53,2.73,0,51,1
347,8.27,2.38,2,34,0
348,7.58,2.73,0,58,0
349,7.59,2.82,0,49,0
350,7.81,2.63,2,41,0
351,7.59,3.57,2,44,0
352,7.72,3.2,0,56,0
353,7.54,2.86,1,42,1
354,7.56,2.14,0,49,0
355,7.68,3.16,0,58,0
356,7.8,2.85,0,59,0
357,7.76,2.62,2,34,0
358,7.58,2.43,0,60,0
359,7.58,2.82,1,33,0
360,7.67,2.73,1,37,0
361,7.1,2.77,2,51,0
362,7.6,2.4,0,58,0
363,7.65,2.67,0,47,0
364,7.61,1.72,1,52,0
365,7.65,2.67,2,38,0
366,7.61,2.63,0,42,0
367,7.64,2.71,3,38,0
368,8.0,2.68,0,56,0
369,7.59,3.09,2,37,0
370,7.92,2.45,3,34,0
371,7.84,2.4,1,32,0
372,7.7,2.35,0,55,0
373,7.93,2.42,1,46,1
374,7.6,2.19,2,39,0
375,7.64,2.35,0,57,0
376,7.74,2.73,0,59,1
377,7.61,2.4,0,44,0
378,7.53,3.35,1,53,0
379,7.78,2.56,1,43,0
380,7.59,1.6,0,50,0
381,7.62,2.5,4,43,0
382,7.6,2.44,0,55,0
383,7.56,3.12,1,43,0
384,7.56,2.56,0,54,1
385,7.78,2.56,3,32,0
386,7.97,2.82,0,59,0
387,7.93,2.61,3,38,0
388,7.99,2.33,2,33,0
389,7.6,3.14,2,43,0
390,7.62,1.83,2,43,0
391,7.54,3.1,1,41,0
392,7.86,3.0,1,51,0
393,7.5,2.4,0,48,0
394,7.6,2.64,0,47,1
395,7.36,1.74,1,53,1
396,7.58,2.06,0,50,0
397,7.7,2.4,0,56,0
398,7.58,2.73,1,40,0
399,7.99,3.14,1,49,0
400,7.7,2.74,0,60,0
401,7.72,3.24,2,35,0
402,7.63,2.2,0,51,1
403,7.7,3.0,2,47,0
404,7.61,2.61,0,35,0
405,7.6,2.62,2,37,0
406,7.35,2.53,1,36,0
407,7.86,2.52,4,34,0
408,7.74,2.55,2,38,0
409,7.12,2.68,3,40,1
410,7.79,2.91,6,38,0
411,7.62,2.48,2,36,0
412,7.36,2.86,3,37,0
413,7.78,2.36,0,47,0
414,7.94,2.3,0,45,0
415,7.83,2.3,3,38,0
416,7.61,2.3,2,33,0
417,7.61,2.89,3,44,0
418,7.58,3.1,1,46,0
419,7.58,2.67,4,42,0
420,7.59,2.67,2,51,0
421,7.7,3.3,0,50,0
422,7.81,2.68,0,45,0
423,7.98,2.94,2,41,0
424,7.56,2.64,3,35,0
425,7.55,2.49,2,34,0
426,7.98,3.07,0,57,0
427,7.82,1.63,1,39,0
428,7.56,3.05,1,55,0
429,7.8,2.74,3,31,0
430,7.48,2.17,2,41,0
431,7.57,3.06,0,45,0
432,7.72,2.5,2,35,0
433,7.72,2.48,3,38,0
434,7.71,2.79,1,36,0
435,7.87,1.46,3,40,0
436,7.7,3.37,0,41,0
437,7.63,2.79,2,34,0
438,7.45,2.77,1,58,1
439,7.7,2.84,2,41,0
440,7.68,2.32,2,39,0
441,7.91,2.3,2,37,0
442,7.8,2.87,0,46,0
443,7.96,2.76,0,49,0
444,7.67,2.73,3,35,0
445,7.77,3.23,1,46,0
446,7.79,2.86,1,58,0
447,7.61,2.53,0,51,0
448,7.69,1.43,2,36,1
449,7.84,1.44,3,38,0
450,8.01,2.15,0,47,0
451,8.07,2.96,2,40,0
452,7.6,2.59,3,33,0
453,7.51,2.67,1,37,0
454,7.51,1.63,0,50,0
455,7.8,2.4,2,34,0
456,7.27,2.05,0,57,0
457,7.68,2.14,2,32,0
458,7.6,2.93,0,42,0
459,7.62,2.36,0,58,0
460,7.92,2.38,2,39,1
461,7.66,1.79,4,35,0
462,7.68,2.89,3,35,0
463,7.61,3.36,0,56,0
464,7.24,3.29,1,43,0
465,7.62,2.79,3,38,0
466,7.88,2.86,4,43,0
467,7.65,2.71,1,37,1
468,8.08,2.25,2,41,0
469,7.55,2.92,0,41,0
470,7.58,2.26,0,46,0
471,7.97,2.2,0,54,0
472,8.02,2.36,1,44,0
473,7.68,4.6,2,43,0
474,7.6,2.3,0,50,0
475,7.52,2.65,1,48,0
476,7.6,2.53,1,59,0
477,8.21,3.36,3,36,0
478,7.82,3.33,3,40,0
479,7.63,2.76,0,48,0
480,7.78,2.69,1,38,0
481,7.25,2.6,2,37,0
482,7.54,2.04,4,39,0
483,7.38,2.48,0,53,0
484,7.74,2.18,3,41,0
485,8.4,2.45,1,55,0
486,7.59,2.17,2,35,0
487,7.63,2.42,1,37,0
488,8.05,2.23,5,33,0
489,7.2,2.01,3,34,0
490,7.68,2.24,3,39,0
491,7.53,2.7,0,48,0
492,7.68,2.64,3,36,0
493,7.62,2.92,3,43,0
494,7.9,3.12,2,41,0
495,7.42,2.69,2,41,0
496,7.59,1.4,1,36,0
497,7.86,1.92,1,45,0
498,7.79,2.51,0,47,1
499,7.64,1.86,2,34,0
500,7.67,2.17,1,40,0
501,7.5,3.07,2,34,0
502,7.7,3.31,3,40,0
503,8.14,2.04,3,37,0
504,7.66,2.71,2,31,0
505,7.62,1.72,4,35,0
506,7.78,2.62,0,58,0
507,7.53,2.76,1,33,0
508,7.73,2.67,1,42,0
509,7.56,2.64,0,57,0
510,7.61,2.53,3,32,0
511,7.72,2.76,1,41,0
512,7.66,2.5,3,39,0
513,7.67,2.92,1,41,0
514,7.75,2.93,1,45,0
515,7.94,1.87,3,35,0
516,7.63,2.55,3,35,1
517,7.92,2.65,3,37,0
518,7.61,2.67,2,36,0
519,7.58,2.77,2,33,0
520,7.86,1.96,2,32,0
521,7.44,2.13,2,33,0
522,7.6,2.88,3,49,0
523,7.8,2.58,3,34,0
524,7.82,3.43,1,40,0
525,7.54,2.56,2,34,0
526,7.68,2.36,2,35,0
527,8.0,2.71,6,33,0
528,7.57,2.14,1,37,0
529,7.64,2.29,2,42,0
530,7.58,2.43,1,41,0
531,7.68,2.51,1,43,0
